Time,Time Code,Country Name,Country Code,Access to electricity (% of population) [EG.ELC.ACCS.ZS],"Access to electricity, rural (% of rural population) [EG.ELC.ACCS.RU.ZS]","Access to electricity, urban (% of urban population) [EG.ELC.ACCS.UR.ZS]",Agricultural land (sq. km) [AG.LND.AGRI.K2],Agricultural land (% of land area) [AG.LND.AGRI.ZS],Armed forces personnel (% of total labor force) [MS.MIL.TOTL.TF.ZS],"Armed forces personnel, total [MS.MIL.TOTL.P1]","Children out of school, primary [SE.PRM.UNER]","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative) [SE.PRM.CUAT.ZS]",Electric power consumption (kWh per capita) [EG.USE.ELEC.KH.PC],Exclusive breastfeeding (% of children under 6 months) [SH.STA.BFED.ZS],Expenditure on primary education (% of government expenditure on education) [SE.XPD.PRIM.ZS],GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],"Hospital beds (per 1,000 people) [SH.MED.BEDS.ZS]","Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]","International tourism, receipts (current US$) [ST.INT.RCPT.CD]","International tourism, number of arrivals [ST.INT.ARVL]","International tourism, number of departures [ST.INT.DPRT]","Labor force, female (% of total labor force) [SL.TLF.TOTL.FE.ZS]","Life expectancy at birth, female (years) [SP.DYN.LE00.FE.IN]","Life expectancy at birth, male (years) [SP.DYN.LE00.MA.IN]","Mortality rate, adult, female (per 1,000 female adults) [SP.DYN.AMRT.FE]","Mortality rate, adult, male (per 1,000 male adults) [SP.DYN.AMRT.MA]","Mortality rate, infant (per 1,000 live births) [SP.DYN.IMRT.IN]","Mortality rate, infant, female (per 1,000 live births) [SP.DYN.IMRT.FE.IN]","Mortality rate, infant, male (per 1,000 live births) [SP.DYN.IMRT.MA.IN]",Oil rents (% of GDP) [NY.GDP.PETR.RT.ZS],"Primary education, duration (years) [SE.PRM.DURS]","Primary education, pupils (% female) [SE.PRM.ENRL.FE.ZS]","Primary education, teachers (% female) [SE.PRM.TCHR.FE.ZS]","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age) [SH.ALC.PCAP.LI]","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age) [SH.ALC.PCAP.FE.LI]","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age) [SH.ALC.PCAP.MA.LI]"
1990,YR1990,Afghanistan,AFG,..,..,..,380400,58.3229842233568,1.94743405417493,58000,..,..,..,..,..,..,0.2497999966,..,..,..,..,17.0630478417394,47.703,42.712,390.157,528.528,144.5,138.5,150.2,..,6,34.00202,58.7448692321777,..,..,..
1990,YR1990,Albania,ALB,100,100,100,11210,40.9124087591241,..,..,..,..,552.252184819181,..,..,-9.57564016993408,4.0248999596,..,..,..,..,41.1321113672118,76.195,69.412,69.156,130.071,27.2,23,31.2,4.8458773941323,4,48.07611,..,..,..,..
1990,YR1990,Algeria,DZA,..,..,..,386760,16.2385482882263,1.87742220990474,126000,459510,..,539.608390825751,..,..,0.800000580174981,2.4993000031,..,..,..,..,12.2086680285428,68.242,67.088,158.211,164.949,39.8,36.3,43.1,15.7969733351133,6,44.66128,39.7516288757324,..,..,..
1990,YR1990,American Samoa,ASM,..,..,..,19.3,9.65,..,..,..,81.3000030517578,..,..,..,..,..,..,..,..,..,..,75.242,67.772,106.013,236.647,..,..,..,..,8,47.10753,64.2082366943359,..,..,..
1990,YR1990,Andorra,AND,100,100,100,230,48.936170212766,..,..,..,..,..,..,..,3.78138754899436,..,..,..,..,..,..,83.387,75.815,39.298,88.246,9.1,7.7,10.3,..,5,..,..,..,..,..
1990,YR1990,Angola,AGO,..,..,..,444560,35.6589396005454,2.33513632932001,115000,..,..,54.1872090662942,..,..,-3.45009868500253,1.2913000584,..,..,..,..,50.0763284996688,45.43,38.639,390.952,562.008,122.3,112.9,131.1,28.0268256543238,4,48.02435,..,..,..,..
1990,YR1990,Antigua and Barbuda,ATG,95.7630462646484,93.4386347880213,100,90,20.4545454545455,..,..,..,..,..,..,..,3.01181316687232,6.5999999046,..,..,..,..,..,76.338,70.796,100.953,173.174,11.1,10.1,12,0,7,..,..,..,..,..
1990,YR1990,Argentina,ARG,92.1548004150391,78.8945883201315,94.1390151977539,1275650,46.6128790619325,0.631923371039086,85000,..,..,1306.11580490489,..,3.26374,-2.46721377810472,4.5942997932,..,..,..,..,37.6313192522964,74.878,68.347,109.945,197.468,24.8,22,27.5,2.18272104761879,7,49.09786,..,..,..,..
1990,YR1990,Armenia,ARM,..,..,..,11700,..,..,..,..,..,2711.89551727866,..,..,..,9.0947999954,..,..,..,..,47.7651733712082,71.461,63.824,113.977,242.523,45.5,40.6,50.2,0,3,..,..,..,..,..
1990,YR1990,Aruba,ABW,100,100,100,20,11.1111111111111,..,..,..,..,..,..,..,3.96140172360629,..,..,..,..,..,..,75.701,69.543,90.328,186.223,..,..,..,0,6,..,..,..,..,..
1990,YR1990,Australia,AUS,100,100,100,4644370,60.4554625567864,0.799932335135416,68000,..,..,8527.21409414567,..,..,3.57741096455418,..,7.33302195235871,..,..,..,41.3628541303389,80.16,73.98,66.314,123.906,7.6,6.6,8.5,1.18927836382777,6,48.5992,..,..,..,..
1990,YR1990,Austria,AUT,100,100,100,30239,36.6444498303442,1.21987476708903,43000,..,..,6111.47652011957,..,18.12517,4.34564183768971,10.1999998093,3.26187231878578,..,..,..,40.926401267308,79,72.3,74.578,155.102,8,7,8.8,0.0765118886958938,4,48.70029,81.2522201538086,..,..,..
1990,YR1990,Azerbaijan,AZE,..,..,..,44462,..,..,..,..,..,2569.82383766306,..,..,..,10.0992002487,..,..,..,..,49.0696205706327,66.145,59.182,141.683,302.369,75.5,70.2,80.7,15.5492022502738,3,..,..,..,..,..
1990,YR1990,"Bahamas, The",BHS,100,100,100,110,1.0989010989011,..,..,..,..,..,..,..,-1.59624908755521,4,..,..,..,..,45.1119649439288,74.634,67.587,143.391,251.782,19.7,18.2,21.1,0,6,..,..,..,..,..
1990,YR1990,Bahrain,BHR,99.9413986206055,99.5058870618272,100,100,14.4927536231884,3.52433775490874,8000,..,..,15048.6502446595,..,..,4.43799717642609,..,..,..,..,..,16.1282506509011,73.397,71.943,116.052,125.094,20,19.6,20.4,37.0437374677071,6,49.3125,47.891471862793,..,..,..
1990,YR1990,Bangladesh,BGD,..,..,..,103860,79.7879695782438,0.284370683536014,103000,5156730,..,46.0076053904037,..,46.66192,5.62225816160344,0.3041999936,..,..,..,..,20.6826276845076,55.574,56.05,276.628,261.069,96.2,88.7,103.4,0.0203201461879886,5,44.77998,19.3801803588867,..,..,..
1990,YR1990,Barbados,BRB,99.9842529296875,99.9748569516163,100,190,44.1860465116279,..,..,1119,..,..,..,..,-3.30759330759331,8.3999996185,..,..,..,..,46.5782414307004,75.754,70.965,101.726,173.869,16.2,14.7,17.6,0.400105606628418,6,49.03914,76.5917587280273,..,..,..
1990,YR1990,Belarus,BLR,100,100,100,93910,..,..,..,..,..,4380.75134935032,..,..,..,13.2264003754,..,..,..,..,48.6605375114777,75.6,66.3,107.204,281.951,12.1,10.2,14,1.44597190733028,6,..,..,..,..,..
1990,YR1990,Belgium,BEL,100,100,100,14430,..,2.69155491635358,106000,..,..,6380.31321975416,..,..,3.13740221731629,8,3.44831217961808,..,..,..,39.0304917623184,79.54,72.73,75.087,138.666,8.3,7.1,9.5,0,6,49.04726,..,..,..,..
1990,YR1990,Belize,BLZ,..,..,..,1260,5.52389302937308,1.77572582793217,1000,..,..,..,..,..,11.4464944649447,2.7000000477,..,..,..,..,28.8626476072094,71.82,67.566,134.212,197.533,30.9,27.4,34.2,0,6,..,..,..,..,..
